#1,#2,#3,#4,#5,#6
78,38,19,9,51,25
130,78,41,43,66,25
142,163,178,164,136,91
143,163,223,164,221,276
206,163,244,204,221,276
275,367,275,208,221,276
275,367,286,208,221,276
275,367,291,208,221,276
275,367,326,208,221,276
275,379,426,395,636,489
275,765,581,404,636,605
495,779,634,420,636,605
606,794,697,432,786,752
698,806,1004,525,866,869
779,974,1068,546,907,1074
790,1020,1211,813,1138,1074
806,1342,1326,832,1156,1418
822,1342,1400,832,1186,1432
1091,1342,1426,832,1494,1432
1091,1342,1599,832,1494,1794
1164,1610,1611,832,1494,1794
1295,1610,1884,1587,1494,2057
1322,1897,1900,1587,1899,2057
1322,1897,2056,1587,1899,2120
1322,1897,2179,1587,1962,2251
1322,2182,2215,1587,2146,2268
1935,2182,,1842,2146,
1935,,,1842,,
1935,,,,,
2183,,,,,
2183,,,,,
