#1,#2,#3,#4,#5,#6
78,38,19,9,51,25
130,78,41,43,66,91
142,163,178,164,136,276
143,367,223,204,221,489
206,379,244,208,636,605
275,765,275,208,786,752
495,779,286,395,866,869
606,794,291,404,907,1074
698,806,326,420,1138,1418
779,974,426,432,1156,1432
790,1020,581,525,1186,1794
806,1342,634,546,1494,2057
822,1610,697,813,1899,2120
1091,1897,1004,832,1962,2251
1164,2182,1068,1587,2146,2268
1295,,1211,1842,,
1322,,1326,,,
1935,,1400,,,
2183,,1426,,,
,,1599,,,
,,1611,,,
,,1884,,,
,,1900,,,
,,2056,,,
,,2179,,,
,,2215,,,
